obj_resp,subj_resp,n,pct_total
0,0,24,13.40782122905028
0,1,34,18.99441340782123
0,NA,23,12.849162011173185
1,0,7,3.910614525139665
1,1,75,41.899441340782126
1,NA,16,8.938547486033519
