profile_4,n,pct
Concordant responder (OBJ+ / Subj+),67,37.43016759776536
Unhappy responder (OBJ+ / Subj-),17,9.497206703910615
Happy non-responder (OBJ- / Subj+),25,13.966480446927374
Concordant non-responder (OBJ- / Subj-),70,39.10614525139665
