CYCLE,MONTH,miss_MMDs,miss_HIT6,miss_HADSA,miss_HADSD,miss_INT,miss_MIDAS
1,1,0,0.21787709497206703,0.7430167597765364,0.7430167597765364,0.21787709497206703,1
1,3,0,0.22346368715083798,0.7430167597765364,0.7430167597765364,0.5251396648044693,0.9329608938547486
1,6,0.1005586592178771,0.30726256983240224,0.7430167597765364,0.7430167597765364,0.5363128491620112,0.9273743016759777
1,9,0.22346368715083798,0.4134078212290503,0.7821229050279329,0.7821229050279329,0.553072625698324,0.94972067039106145
1,12,0.26256983240223464,0.45251396648044695,0.7430167597765364,0.7430167597765364,0.5754189944134078,0.9385474860335196
2,1,0.547486033519553,0.3575418994413408,0.5418994413407822,0.5418994413407822,0.5307262569832403,1
2,3,0.48044692737430167,0.3575418994413408,0.5418994413407822,0.5418994413407822,0.6815642458100558,0.9776536312849162
2,6,0.5083798882681564,0.3743016759776536,0.664804469273743,0.6703910614525139,0.6983240223463687,0.9608938547486033
2,9,0.5586592178770949,0.39106145251396646,0.6536312849162011,0.6536312849162011,0.7374301675977654,0.9553072625698324
2,12,0.5083798882681564,0.39106145251396646,0.5921787709497207,0.5921787709497207,0.7374301675977654,0.94972067039106145
3,1,0.5586592178770949,0.5586592178770949,0.7430167597765364,0.7430167597765364,0.7374301675977654,1
3,3,0.5586592178770949,0.5642458100558659,0.7486033519553073,0.7486033519553073,0.7374301675977654,0.9608938547486033
3,6,0.5642458100558659,0.5642458100558659,0.7486033519553073,0.7486033519553073,0.7430167597765364,0.94972067039106145
3,9,0.5642458100558659,0.5642458100558659,0.7486033519553073,0.7486033519553073,0.7094972067039106,0.9441340782122905
3,12,0.5642458100558659,0.5642458100558659,0.7486033519553073,0.7486033519553073,0.664804469273743,0.94972067039106145
