effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high
fixed,(Intercept),14.464327531582702,0.5157263037392245,28.046518912668354,182.01321702959126,5.502161823942952e-68,13.44675666797999,15.481898395185414
fixed,CYCLE2,-1.030231177640472,0.33167861835333545,-3.1061127266966975,1485.591935869083,0.001931512815821146,-1.6808393903339915,-0.37962296494695236
fixed,CYCLE3,-2.0865157257749405,0.3479933633888539,-5.995849189352014,1491.1323404975553,2.5351073629346145e-9,-2.7691242562507576,-1.4039071952991233
fixed,MONTH.L,-6.531784985480652,0.28658638741451464,-22.791679131755714,1441.4074912928345,1.90398371522817e-98,-7.093956037274692,-5.969613933686611
fixed,MONTH.Q,5.081141519730964,0.28118169625221007,18.0706695615541,1424.8107560899725,6.98054200540274e-66,4.529566970888344,5.6327160685735835
fixed,MONTH.C,-2.6958138242447443,0.28120923614240345,-9.58650526997482,1424.6706179656346,3.8936708666344354e-21,-3.247442442303948,-2.1441852061855404
fixed,MONTH^4,0.47951324417386726,0.27933983433955,1.71659457487541,1424.6395851021946,0.08627064647019712,-0.06844830841747701,1.0274747967652116
